Neuron,name,skid,cell_type
3516674," ""neuron 3516674 HK JO-A""",3516673,JON
3531050," ""neuron 3531050 HK JO-A""",3531049,JON
3538467," ""neuron 3538467 HK JO-B(G.5)""",3538466,JON
3563321," ""neuron 3563321 HK JO-B(G.5)""",3563320,JON
3580998," ""neuron 3580998 HK JO-B(G)""",3580997,JON
3581010," ""neuron 3581010 HK JO-B(G)""",3581009,JON
3581021," ""neuron 3581021 HK JO-B(G.1)""",3581020,JON
3642970," ""neuron 3642970 HK JO-B(G.4)""",3642969,JON
3652096," ""neuron 3652096 HK JO-B(G.5)""",3652095,JON
3656400," ""neuron 3656400 HK JO-B(G)""",3656399,JON
3671779," ""neuron 3671779 HK JO-B(G)""",3671778,JON
3674079," ""neuron 3674079 HK JO-B(G)""",3674078,JON
3693845," ""neuron 3693845 HK JO-B(G)""",3693844,JON
3704263," ""neuron 3704263 HK JO-B(G)""",3704262,JON
3746371," ""neuron 3746371 HK JO-B(G)""",3746370,JON
3747724," ""neuron 3747724 HK JO-A""",3747723,JON
3748236," ""neuron 3748236 HK JO-B(G.5)""",3748235,JON
3748801," ""neuron 3748801 HK JO-B(G.1)""",3748800,JON
3749228," ""neuron 3749228 HK JO-B(G)""",3749227,JON
3785354," ""GF input neuron 3785354 JSP - unclassified type 37""",3785353,JON
3785374," ""GF input neuron 3785374 JSP - unclassified type 37""",3785373,JON
3786321," ""GF input neuron 3786321 JSP - unclassified type 37""",3786320,JON
3786415," ""GF input neuron 3786415 SMA - unclassified type 37""",3786414,JON
3792264," ""GF input neuron 3792264 JSP - unclassified type 37""",3792263,JON
3792341," ""GF input neuron 3792341 JSP - unclassified type 37""",3792340,JON
3792389," ""GF input neuron 3792389 MAR - unclassified type 37""",3792388,JON
5073396," ""GF input neuron 5073396 JSP - unclassified type 37""",5073395,JON
5296247," ""GF input neuron 5296247 JSP - unclassified type 38""",5296246,JON
5304808," ""GF input neuron 5304808 SMA- unclassified type 37""",5304807,JON
5307455," ""GF input neuron 5307455 SMA - unclassified type 37""",5307454,JON
5307769," ""GF input neuron 5307767 SMA - unclassified type 37""",5307768,JON
5312253," ""GF input neuron 5312253 JSP - unclassified type 48""",5312252,JON
5936952," ""GF input neuron 5936952 SMA - unclassified type 44""",5936951,JON
6331357," ""GF input neuron 6331357 SMA - unclassified type 44""",6331356,JON
6412164," ""GF input neuron 6412164 JSP - unclassified type 37""",6412163,JON
6412429," ""GF input neuron 6412429 JSP - unclassified type 37""",6412428,JON
6412462," ""GF input neuron 6412462 JSP - unclassified type 37""",6412461,JON
6429151," ""GF input neuron 6429151 JSP - unclassified type 37""",6429150,JON
6502781," ""GF input neuron 6502781 JSP - unclassified type 48""",6502780,JON
6507302," ""GF input neuron 6507302 JSP - unclassified type 48""",6507301,JON
6507330," ""GF input neuron 6507330 JSP - unclassified type 48""",6507329,JON
6507359," ""GF input neuron 6507359 JSP - unclassified type 37""",6507358,JON
6538033," ""GF input neuron 6538033 JSP - unclassified type 37""",6538032,JON
6543602," ""GF input neuron 6543602 SMA - unclassified type 48""",6543601,JON
6543642," ""GF input neuron 6543642 SMA - unclassified type 37""",6543641,JON
6544019," ""GF input neuron 6544019 SMA JSP - unclassified type 37""",6544018,JON
6544886," ""GF input neuron 6544886 JSP - unclassified type 48""",6544885,JON
6544975," ""GF input neuron 6544975 JSP - unclassified type 48""",6544974,JON
6864290," ""GF input neuron 6864290 JSP - unclassified type 37""",6864289,JON
6864303," ""GF input neuron 6864303 JSP - unclassified type 37""",6864302,JON
6935685," ""GF input neuron 6935685 JSP - unclassified type 37""",6935684,JON
6982745," ""GF input neuron 6982745 JSP - unclassified type 37""",6982744,JON
7083678," ""GF input neuron 7083678 SMA - unclassified type 44""",7083677,JON
7095412," ""GF input neuron 7095412 SMA - unclassified type 44""",7095411,JON
7110830," ""GF input neuron 7110830 SMA - unclassified type 37""",7110829,JON
7168590," ""GF input neuron 7168590 JSP - unclassified type 48""",7168589,JON
7196380," ""GF input neuron 7196380 JSP - unclassified type 37""",7196379,JON
7232136," ""GF input neuron 7232136 JSP - unclassified type 37""",7232135,JON
7237463," ""GF input neuron 7237463 JSP - unclassified type 37""",7237462,JON
7260471," ""GF input neuron 7260471 SMA - unclassified type 48""",7260470,JON
7340273," ""GF input neuron 7340273 JSP - unclassified type 37""",7340272,JON
7417156," ""GF input neuron 7417156 SMA - unclassified type 37""",7417155,JON
7426400," ""GF input neuron 7426400 JSP - unclassified type 37""",7426399,JON
7426864," ""GF input neuron 7426864 SMA - unclassified type 37""",7426863,JON
7431695," ""GF input neuron 7431695 SMA - unclassified type 37""",7431694,JON
7431993," ""GF input neuron 7431993 SMA - unclassified type 37""",7431992,JON
7452174," ""GF input neuron 7452174 JSP - unclassified type 37""",7452173,JON
7452463," ""GF input neuron 7452463 JSP - unclassified type 37""",7452462,JON
7456031," ""GF input neuron 7456031 SMA - unclassified type 37""",7456030,JON
7460370," ""GF input neuron 7460370 JSP - unclassified type 37""",7460369,JON
7460598," ""GF input neuron 7460598 JSP - unclassifed type 37""",7460597,JON
7516944," ""GF input neuron 7516944 SMA - unclassified type 37""",7516943,JON
7517039," ""GF input neuron 7517039 SMA -unclassified type 37""",7517038,JON
7517233," ""GF input neuron 7517233 JSP - unclassified type 37""",7517232,JON
7542083," ""GF input neuron 7542083 JSP - unclassified type 37""",7542082,JON
7602743," ""GF input neuron 7602743 JSP - unclassified type 37""",7602742,JON
7618674," ""GF input neuron 7618674 JSP - unclassified type 37""",7618673,JON
7625027," ""GF input neuron 7625027 SMA - unclassified type 44""",7625026,JON
7625059," ""GF input neuron 7625059 JSP SMA - unclassifed type 37""",7625058,JON
7637925," ""GF input neuron 7637925 JSP - unclassified type 37""",7637924,JON
7640498," ""Neuron 7640498 HC (JON?)""",7640497,JON
7664964," ""GF input neuron 7664964 JSP - unclassified type 37""",7664963,JON
8255423," ""GF input neuron 8255423 SMA- unclassified type 37""",8255422,JON
8255630," ""GF input  neuron 8255630 SMA - unclassified type 48""",8255629,JON
8576700," ""GF input neuron 8576700 JSP - unclassifed type 37""",8576699,JON
8578057," ""GF input neuron 8578057 JSP - unclassified type 37""",8578056,JON
9594273," ""GF input neuron 9594273 JSP - unclassified type 37""",9594272,JON
9656529," ""GF input neuron 9656529 JSP""",9656528,JON
16677531," ""Likely JO-B 16677531 HC""",16677530,JON
16773858," ""Likely JO-B 16773858 HC""",16773857,JON
